CommitId;RefactoringType;RefactoringDetail
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public toString() : String from class org.reptile.Turtle to public toString() : String from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public hashCode() : int from class org.reptile.Turtle to public hashCode() : int from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Method;Pull Up Method	public equals(obj Object) : boolean from class org.reptile.Turtle to public equals(obj Object) : boolean from class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Attribute;Pull Up Attribute	protected age : int from class org.reptile.Turtle to class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Attribute;Pull Up Attribute	protected name : int from class org.reptile.Turtle to class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Attribute;Pull Up Attribute	protected spead : int from class org.reptile.Turtle to class org.reptile.Reptile
802e21bffe95f0740f44d1a45e3c22adae0ba48c;Pull Up Attribute;Pull Up Attribute	protected action : String from class org.reptile.Turtle to class org.reptile.Reptile
3f3552830d3e464f96f99bd55641a7c7b16bdd11;Push Down Attribute;Push Down Attribute	private speed : int from class org.felines.Feline to class org.felines.Tiger
3f3552830d3e464f96f99bd55641a7c7b16bdd11;Push Down Attribute;Push Down Attribute	private speed : int from class org.felines.Feline to class org.felines.Tiger
3f3552830d3e464f96f99bd55641a7c7b16bdd11;Push Down Attribute;Push Down Attribute	private speed : int from class org.felines.Feline to class org.felines.Tiger
3f3552830d3e464f96f99bd55641a7c7b16bdd11;Push Down Method;Push Down Method	public getSpeed() : int from class org.felines.Feline to public getSpeed() : int from class org.felines.Tiger
3f3552830d3e464f96f99bd55641a7c7b16bdd11;Push Down Method;Push Down Method	public setSpeed(speed int) : void from class org.felines.Feline to public setSpeed(speed int) : void from class org.felines.Tiger
f35b2c8eb8c320f173237e44d04eefb4634649a2;Extract Method;Extract Method	private sleepNight() : void extracted from public sleep() : void in class org.felines.Cat
c0a051fdeb02fd4374ebe625d6af9e3125a2b9af;Pull Up Attribute;Pull Up Attribute	private speed : int from class org.felines.Tiger to class org.felines.Feline
c0a051fdeb02fd4374ebe625d6af9e3125a2b9af;Pull Up Attribute;Pull Up Attribute	private speed : int from class org.felines.Tiger to class org.felines.Feline
c0a051fdeb02fd4374ebe625d6af9e3125a2b9af;Pull Up Attribute;Pull Up Attribute	private speed : int from class org.felines.Tiger to class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Attribute;Pull Up Attribute	private age : int from class org.felines.Tiger to class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Attribute;Pull Up Attribute	private name : int from class org.felines.Tiger to class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Attribute;Pull Up Attribute	private age : int from class org.felines.Tiger to class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Attribute;Pull Up Attribute	private name : int from class org.felines.Tiger to class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Attribute;Pull Up Attribute	private age : int from class org.felines.Tiger to class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Attribute;Pull Up Attribute	private name : int from class org.felines.Tiger to class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Method;Pull Up Method	public getAge() : int from class org.felines.Tiger to public getAge() : int from class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Method;Pull Up Method	public setAge(age int) : void from class org.felines.Tiger to public setAge(age int) : void from class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Method;Pull Up Method	public getName() : int from class org.felines.Tiger to public getName() : int from class org.felines.Feline
92b201345f730110445d83f4fefe8ae88bc4872b;Pull Up Method;Pull Up Method	public setName(name int) : void from class org.felines.Tiger to public setName(name int) : void from class org.felines.Feline
9a9878aeb62a6bb6ff2bed6c03dd1dd7ed1f202b;Pull Up Method;Pull Up Method	public meow() : void from class org.felines.Cat to public meow() : void from class org.felines.Feline
0c5c24356f3179ee320c3318f91278520caafb3a;Move Class;Move Class	org.felines.Feline moved to org.birds.Feline
05c1e773878bbacae64112f70964f4f2f7944398;Extract Superclass;Extract Superclass	org.felines.Feline from classes [org.felines.Cat]
05c1e773878bbacae64112f70964f4f2f7944398;Pull Up Method;Pull Up Method	public meow() : void from class org.felines.Cat to public meow() : void from class org.felines.Feline
60226924fead7d0c4646df4f4fd65667e83da6dc;Move Class;Move Class	org.animals.Bird moved to org.birds.Bird
60226924fead7d0c4646df4f4fd65667e83da6dc;Move Class;Move Class	org.animals.Chicken moved to org.birds.Chicken
60226924fead7d0c4646df4f4fd65667e83da6dc;Move Class;Move Class	org.animals.Duck moved to org.birds.Duck
70b71b7fd3c5973511904c468e464d4910597928;Move Class;Move Class	org.animals.Cat moved to org.felines.Cat
63cbed99a601e79c6a0ae389b2a57acdbd3e1b44;Rename Class;Rename Class	org.animals.Cow renamed to org.animals.CowRenamed
58495630295833c9d73559bd958c2f95339f9c62;Extract Superclass;Extract Superclass	org.animals.Bird from classes [org.animals.Chicken, org.animals.Duck]
58495630295833c9d73559bd958c2f95339f9c62;Pull Up Method;Pull Up Method	public layEgg() : void from class org.animals.Chicken to public layEgg() : void from class org.animals.Bird
58495630295833c9d73559bd958c2f95339f9c62;Pull Up Method;Pull Up Method	public layEgg() : void from class org.animals.Duck to public layEgg() : void from class org.animals.Bird
40950c317bd52ea5ce4cf0d19707fe426b66649c;Extract Method;Extract Method	public takeABreath() : void extracted from public bark() : void in class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Attribute;Pull Up Attribute	private age : int from class org.animals.Labrador to class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Attribute;Pull Up Attribute	private age : int from class org.animals.Poodle to class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Attribute;Pull Up Attribute	private age : int from class org.animals.Labrador to class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Attribute;Pull Up Attribute	private age : int from class org.animals.Poodle to class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Attribute;Pull Up Attribute	private age : int from class org.animals.Labrador to class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Attribute;Pull Up Attribute	private age : int from class org.animals.Poodle to class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Method;Pull Up Method	public getAge() : int from class org.animals.Labrador to public getAge() : int from class org.animals.Dog
36287f7c3b09eff78395267a3ac0d7da067863fd;Pull Up Method;Pull Up Method	public getAge() : int from class org.animals.Poodle to public getAge() : int from class org.animals.Dog
